id,id_transaction,product_name,product_merk,product_price,product_discount,qty,size,total_price
1,9,Adidas Blue,Adidas,1250000,5,2,38,2375000.0
2,9,Puma Futsal,Puma,1250000,0,4,40,5000000.0
3,2,Adidas Blue,Adidas Futsal,1250000,5,2,38,2375000.0
4,2,Adidas,Adidas Badminton,1250000,0,1,40,1250000.0
5,3,Adidas Blue,Adidas Futsal,1250000,5,1,38,1187500.0
6,3,Adidas,Adidas Badminton,1250000,0,2,40,2500000.0
7,4,Adidas Blue,Adidas Futsal,1250000,5,2,41,2375000.0
8,5,Adidas Blue,Adidas Futsal,1250000,5,2,42,2375000.0
9,6,Adidas,Adidas Badminton,1250000,0,4,40,5000000.0
10,9,Adidas Blue,Adidas Futsal,1250000,5,2,42,2375000.0
11,9,Adidas Blue,Adidas Futsal,1250000,5,2,41,2375000.0
12,10,Adidas Blue,Adidas Futsal,1250000,5,1,37,1187500.0
