id,category,amount,date,operator
1,in,100000000.0,,
2,in,50000000.0,,
3,out,-1000000.0,,
4,out,-5000000.0,,
5,out,-5000000.0,,
6,out,-2000000.0,,
7,out,-2000000.0,,
8,out,-5000000.0,,
9,out,-2000000.0,,
10,out,-2000000.0,,
11,out,-2000000.0,,
12,out,-20000000.0,,
13,in,2375000.0,,
14,in,2375000.0,,
15,in,5000000.0,,
16,in,2375000.0,,
17,in,4750000.0,,
18,in,4750000.0,,
19,in,1187500.0,,
20,in,20000000.0,2023-06-16T17:09:48,
21,in,2375000.0,,
22,in,123456.0,2023-06-16T17:50:46,admin
23,in,2375000.0,2023-06-16T21:08:00,admin
24,in,1187500.0,2023-06-16T21:43:51,admin
