id,total_price,given_money,change_money,date,operator
1,7375000.0,7400000,25000.0,1,
2,3625000.0,3700000,75000.0,1,
3,3687500.0,3700000,12500.0,1,
4,2375000.0,2400000,25000.0,1,
5,2375000.0,2400000,25000.0,1,
6,5000000.0,5000000,0.0,1,
7,2375000.0,2400000,25000.0,1,
8,4750000.0,5000000,250000.0,1,
9,4750000.0,5000000,250000.0,1,
10,1187500.0,1200000,12500.0,1,
11,2375000.0,2400000,25000.0,2023-06-16T17:10:08,
12,2375000.0,2400000,25000.0,2023-06-16T21:08:00,admin
13,1187500.0,1200000,12500.0,2023-06-16T21:43:51,admin
